"Семейство","Имя для КП","Диагональ","Форм-фактор","Фиск. паттерн","Встроенный принтер","Процессор по умолчанию","Фото"
"SCO POScenter D","Касса самообслуживания 15.6″","15.6″","настольный","внешний","","J6412","https://storage.yandexcloud.net/kp.generator/SCO%20POScenter%20D150%20%D0%91%D0%B5%D0%BB%D1%8B%D0%B8%CC%86.jpg"
"POScenter K","Киоск самообслуживания 32″","32″","напольный","встроенный","","i5","https://storage.yandexcloud.net/kp.generator/POScenter%20K320.jpg"
"Киоск Sam4s Astra","Киоск самообслуживания 21″","21″","настольный","внутренний","","N95","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B8%D0%BE%D1%81%D0%BA%20Sam4s%20Astra%20.jpg"
"Kiosk SuperKiosk L-240","Киоск самообслуживания 24″ (напольный)","24″","напольный","внутренний","","N97","https://storage.yandexcloud.net/kp.generator/Kiosk%20SuperKiosk%20L-240.jpg"
"Kiosk SuperKiosk L-320","Киоск самообслуживания 32″ (напольный)","32″","напольный","внутренний","","N97","https://storage.yandexcloud.net/kp.generator/Kiosk%20SuperKiosk%20L-320.jpg"
"Киоск SuperKIOSK T-215","Киоск самообслуживания 21.5″","21.5″","настольный","внутренний","","N97","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B8%D0%BE%D1%81%D0%BA%20SuperKIOSK%20T-215.jpg"
"Киоск SuperKiosk R-156","Киоск самообслуживания 15.6″","15.6″","настольный","внутренний","","N97","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B8%D0%BE%D1%81%D0%BA%20%20SuperKiosk%20R-156.jpg"
"Касса МС Mini 15 N","Касса самообслуживания 15.6″","15.6″","настольный","внешний","","N100","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B0%D1%81%D1%81%D0%B0%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%A1%20Mini%2015%20N.png"
"Касса МС 21 N","Касса самообслуживания 21.5″","21.5″","настольный","внешний","","N100","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B0%D1%81%D1%81%D0%B0%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%A1%2021%20N.png"
"Касса МС 21 Slim","Касса самообслуживания 21.5″ (настенная)","21.5″","настенный","внешний","","N100","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B0%D1%81%D1%81%D0%B0%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%A1%2021%20Slim%20%D0%9D%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F.png"
"Киоск самообслуживания МС 24","Киоск самообслуживания 24″ (напольный)","23.8″","напольный","внутренний","80мм","N100","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B8%D0%BE%D1%81%D0%BA%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%A1%2024.png"
"Киоск самообслуживания МС 32","Киоск самообслуживания 32″ (напольный)","32″","напольный","внутренний","80мм","N100","https://storage.yandexcloud.net/kp.generator/%D0%9A%D0%B8%D0%BE%D1%81%D0%BA%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%A1%2032.png"
